Gene_symbol	Gene_Entrez_IDs
TRNAU1AP	54952
TRRAP	8295
TRUB2	26995
TSEN2	80746
TSEN54	283989
TSFM	10102
TSG101	7251
TSR1	55720
TSR2	90121
TTC1	7265
TTC27	55622
TTF1	7270
TTF2	8458
TTI1	9675
TTI2	80185
TTK	7272
TUBD1	51174
TUBE1	51175
TUBG1	7283
TUBGCP2	10844
TUBGCP3	10426
TUBGCP4	27229
TUBGCP5	114791
TUBGCP6	85378
TUFM	7284
TUT1	64852
TWISTNB	221830
TXN2	25828
TXNL4A	10907
TXNL4B	54957
TXNRD1	7296
U2AF1	7307
U2AF2	11338
U2SURP	23350
UBA1	7317
UBA2	10054
UBA3	9039
UBE2I	7329
UBL5	59286
UBR4	23352
UBTF	7343
UFD1L	7353
UFSP1	402682
UMPS	7372
UNC119	9094
UNC45A	55898
UPF1	5976
UPF2	26019
UQCRB	7381
UQCRC1	7384
UQCRFS1	7386
UQCRQ	27089
URB1	9875
URB2	9816
URI1	8725
URM1	81605
UROD	7389
USE1	55850
USO1	8615
USP36	57602
USP37	57695
USP39	10713
USP5	8078
USP7	7874
USP8	9101
USPL1	10208
UTP11L	51118
UTP14A	10813
UTP15	84135
UTP18	51096
UTP20	27340
UTP23	84294
UTP3	57050
UTP6	55813
UVRAG	7405
UXT	8409
VARS2	57176
VARS	7407
VCP	7415
VHL	7428
VMP1	81671
VPRBP	9730
VPS13D	55187
VPS18	57617
VPS25	84313
VPS28	51160
VPS54	51542
VPS72	6944
VRK1	7443
VWA9	81556
WARS2	10352
WARS	7453
WBSCR16	81554
WBSCR22	114049
WDHD1	11169
WDR12	55759
WDR18	57418
WDR25	79446
WDR33	55339
WDR36	134430
WDR3	10885
WDR43	23160
WDR46	9277
WDR4	10785
WDR55	54853
WDR5	11091
WDR61	80349
WDR70	55100
WDR73	84942
WDR74	54663
WDR75	84128
WDR77	79084
WDR7	23335
WDR82	80335
WDR83	84292
WDR92	116143
WEE1	7465
WNK1	65125
WRAP53	55135
WRB	7485
XAB2	56949
XPO1	7514
XPO5	57510
XRCC2	7516
XRCC3	7517
XRCC5	7520
XRN1	54464
XRN2	22803
XYLT2	64132
YAE1D1	57002
YAP1	10413
YARS2	51067
YARS	8565
YBEY	54059
YEATS2	55689
YEATS4	8089
YKT6	10652
YRDC	79693
YTHDC1	91746
YY1	7528
ZBTB11	27107
ZBTB17	7709
ZC3H18	124245
ZC3H3	23144
ZC3H8	84524
ZCCHC9	84240
ZFC3H1	196441
ZMAT2	153527
ZMAT5	55954
ZNF131	7690
ZNF207	7756
ZNF259	8882
ZNF283	284349
ZNF407	55628
ZNF408	79797
ZNF574	64763
ZNF622	90441
ZNF830	91603
